UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,2,COCA,1,0.35
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,1,0.35
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,1,0.35
7501055300952,Refresco CocaCola 1 1/4 lt botella Retornable,9.1,31.0,9.1,1,COCA,2,0.43
7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,10.0,34.7,10.0,2,COCA,2,0.45
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,2,0.43
7501055335060,Coca Cola 2.75lts,12.5,35.9,12.5,1,COCA,2,0.45
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,3,0.6056
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,1,COCA,3,0.55
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,3,0.55
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,3,0.6944
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,4,0.68
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,6.9,23.5,6.9,1,COCA,4,0.7056
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,4,0.6056
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,4,0.66
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,4,0.6056
7501055361540,CocaCola Original lata 355 ML NR Sleek Can,5.8,15.8,5.8,1,COCA,5,0.75
7501055355310,Coca Cola 250 ml PET NR,5.6,17.0,5.6,1,COCA,5,0.75
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,5,0.7318
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,6.9,23.5,6.9,1,COCA,5,0.7056
75013554,Refresco CocaCola 355 ml botella Retornable light,6.5,25.0,6.5,1,COCA,5,0.75
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,5,0.68
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,6,0.35
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,6,0.35
7501031310258,Refresco Pepsi 2.5 lt botella No Retornable:cola,11.0,37.5,11.0,1,PEPSI,6,0.35
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,6,0.3722
7501022015544,Manzanita Sol Manzana 2L NR,10.2,35.0,10.2,1,OTRO,6,0.3833
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,7,0.3722
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,7,0.45
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,7,0.45
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,2,PENAFIEL,7,0.45
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,2,PEPSI,8,0.55
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,1,OTRO,8,0.55
7501073841925,Penafiel Pinada 600ml NR,6.7,24.5,6.7,1,PENAFIEL,8,0.575
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,8,0.6143
7501198350432,Refresco Canada Dry 600 ml botella No Retornable ginger ale,7.0,24.5,7.0,1,OTRO,8,0.55
7501071120183,Squirt Toronja 600ml NR,6.7,25.0,6.7,1,SQUIRT,8,0.55
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,9,0.6944
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,9,0.6643
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,9,0.675
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,9,0.5929
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,9,0.65
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,9,0.6833
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,9,0.6143
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,10,0.725
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,10,0.6944
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,1,OTRO,10,0.75
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,10,0.75
7501198343731,Dr Pepper Original 355ml Lata ,6.7,12.5,6.7,1,DR PEPPER,10,0.75
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,3,PENAFIEL,10,0.7389
