UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501055339983,Sidral Mundet Manzana 600ml NR,7.1,23.2,7.1,1,MUNDET,8,0.5733
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,9,0.5738
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,9,0.6061
7501031311620,Refresco Pepsi 500 ml botella No Retornable cola,6.5,23.0,6.5,1,PEPSI,9,0.5939
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,9,0.5933
7501031311620,Refresco Pepsi 500 ml botella No Retornable cola,6.5,23.0,6.5,1,PEPSI,9,0.5939
7501055303779,Fanta Naranja 600ml NR,7.1,23.2,7.1,1,FANTA,9,0.6222
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,10,0.6567
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,2,PEPSI,10,0.6667
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,10,0.6667
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,1,PEPSI,10,0.6667
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,6.6,16.3,6.6,1,PEPSI,10,0.6667
7501055339983,Sidral Mundet Manzana 600ml NR,7.1,23.2,7.1,1,MUNDET,10,0.5733
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,11,0.4061
7501073840843,Penafiel Sifon 1.75lt NR,10.3,37.5,10.3,1,PENAFIEL,11,0.4286
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,11,0.4061
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,11,0.4
7501073800908,Penafiel Mineral 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,11,0.4
7501055340422,Sidral Mundet Manzana 3L NR,11.2,35.9,11.2,1,MUNDET,12,0.4667
7501055304806,Sprite Lima limon 3L NR,11.2,35.9,11.2,1,SPRITE,12,0.4667
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,2,PENAFIEL,12,0.4606
7501055304813,Fresca Toronja 3L NR,11.2,35.9,11.2,1,FRESCA,12,0.4667
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,13,0.5576
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,1,OTRO,13,0.5333
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,13,0.5576
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,1,OTRO,13,0.5333
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,2,TOPO CHICO,13,0.5741
7501071120183,Squirt Toronja 600ml NR,6.7,25.0,6.7,1,SQUIRT,13,0.5333
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,14,0.5933
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,14,0.5576
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,2,OTRO,14,0.6
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,3,TOPO CHICO,14,0.5741
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,1,PEPSI,15,0.65
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,15,0.6545
7501022016008,Mirinda RA 400ml PET 12,5.8,21.0,5.8,1,MIRINDA,15,0.6667
7501022015513,Manzanita Sol Manzana 400ml NR,5.8,22.0,5.8,1,OTRO,15,0.6545
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,15,0.6381
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,2,PENAFIEL,15,0.6556
7501073831469,Penafiel Twist Limon 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,15,0.6267
