UPC,ITEM_DESC,ANCHO,ALTO,PROFUNDO,NUM_FRENTES,MARCA,CHAROLA,E_CHAROLA_NORM
7501055310227,Refresco Coca-Cola 2.5 lt botella retornable cola,11.5,36.7,11.5,1,COCA,1,0.4216
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,2,COCA,1,0.4118
7501055300952,Refresco CocaCola 1 1/4 lt botella Retornable,9.1,31.0,9.1,1,COCA,2,0.4706
7501055313532,Refresco Coca Cola 1.75L NR,9.5,34.1,9.5,1,COCA,2,0.4706
7501055302925,Refresco CocaCola 2 lt botella No Retornable cola,10.0,34.7,10.0,1,COCA,2,0.4706
7501055335060,Coca Cola 2.75lts,12.5,35.9,12.5,1,COCA,2,0.4559
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,3,0.5647
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,1,COCA,3,0.5294
7501055302086,Refresco CocaCola 500 ml botella vidrio No Retornable cola,6.9,23.5,6.9,1,COCA,4,0.605
7501055320639,Coca Cola SA 600 ml NR,6.9,24.2,6.9,1,COCA,4,0.5882
7501055305339,Refresco CocaCola 600 ml botella No Retornable cola light,6.9,24.2,6.9,1,COCA,4,0.5882
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,4,0.5647
7501055361540,CocaCola Original lata 355 ML NR Sleek Can,5.8,15.8,5.8,1,COCA,5,0.6471
7501055355310,Coca Cola 250 ml PET NR,5.6,17.0,5.6,1,COCA,5,0.6471
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,5,0.6417
7501055339082,Coca cola Chubby Light  355 ml PET NR,6.5,16.5,6.5,1,COCA,5,0.6471
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,5,0.6417
7501055304745,Refresco CocaCola 3 lt botella No Retornable cola,11.3,36.7,11.3,1,COCA,6,0.4118
7501055305247,Refresco CocaCola 2.5 lt botella No Retornable cola,10.9,36.9,10.9,1,COCA,6,0.4265
7501031311682,Refresco Pepsi 1.5 L NR:Regular,8.3,33.0,8.3,1,PEPSI,6,0.4538
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,6,0.4608
7501055313068,Coca Cola 3L Ret,12.0,37.8,12.0,1,COCA,7,0.4559
7501022013069,Pepsi Black 1.5lts,8.3,33.5,8.3,1,PEPSI,7,0.4706
7501031311606,Refresco Pepsi 2 Lt botella No Retornable cola,10.0,35.0,10.0,1,PEPSI,7,0.4608
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,2,PEPSI,7,0.4706
75004699,Refresco CocaCola 500 ml botella vidrio Retornable,6.6,28.5,6.6,1,COCA,8,0.5294
7501055302451,Refresco CocaCola 1 lt botella No Retornable cola,8.4,27.5,8.4,1,COCA,8,0.5294
7501031310012,Refresco Pepsi 600 ml botella No Retornable cola,6.7,25.0,6.7,2,PEPSI,8,0.5294
7501031311644,Refresco sabor cola Pepsi 1 lto botella no retornable:Regular,8.0,28.0,8.0,1,PEPSI,8,0.5294
7501055376674,AMEYAL FREKIW BOT 600ML 6PK,7.1,23.5,7.1,1,OTRO,8,0.6078
75007614,Refresco CocaCola 600 ml botella No Retornable cola,6.9,24.2,6.9,1,COCA,9,0.5647
7501022014257,PEPSI KICK 500 ML,6.0,21.0,6.0,1,PEPSI,9,0.598
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,2,PEPSI,9,0.5882
7501022015858,7Up Citrus 600 Ml NR,7.8,20.0,7.8,1,OTRO,9,0.5882
7501055332175,Coca Cola Regular Chubby 355ml Pet,6.5,16.5,6.5,1,COCA,10,0.6417
7501055320684,Coca Cola SA 500 ml VNR,6.9,23.5,6.9,1,COCA,10,0.6471
7501022009277,Refresco Pepsi 473ml lata,6.7,16.0,6.7,2,PEPSI,10,0.6471
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,5.8,21.0,5.8,2,PEPSI,10,0.6471
793573950079,Red Cola 3Lt NR,12.0,36.0,12.0,1,OTRO,11,0.4588
7501055340422,Sidral Mundet Manzana 3L NR,11.2,35.9,11.2,1,MUNDET,11,0.4412
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,1,PENAFIEL,11,0.4622
7501055304806,Sprite Lima limon 3L NR,11.2,35.9,11.2,1,SPRITE,11,0.4529
793573950079,Red Cola 3Lt NR,12.0,36.0,12.0,1,OTRO,12,0.4588
7501031310098,Refresco Pepsi 3 lt botella No Retornable:cola,12.5,37.5,12.5,1,PEPSI,12,0.4706
793573950079,Red Cola 3Lt NR,12.0,36.0,12.0,2,OTRO,12,0.4588
7501055305629,Sprite Lima limon 600ml NR,7.1,23.2,7.1,1,SPRITE,13,0.549
7501505630073,Sangria casera Original 600ml NR,7.0,24.0,7.0,1,OTRO,13,0.5294
7501073841925,Penafiel Pinada 600ml NR,6.7,24.5,6.7,1,PENAFIEL,13,0.5441
7501198350418,Dr Pepper Original 600ml NR,6.6,24.9,6.6,1,DR PEPPER,13,0.5294
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,1,TOPO CHICO,13,0.5662
7501071120183,Squirt Toronja 600ml NR,6.7,25.0,6.7,1,SQUIRT,13,0.5294
7501073830028,Penafiel Mineral 1 lt NR,8.0,27.9,8.0,1,PENAFIEL,13,0.5294
7501022013052,PEPSI BLACK 600ML,6.8,24.0,6.8,1,PEPSI,14,0.5882
7501022014585,Seven up Lima limon 600ml NR,6.7,25.0,6.7,1,OTRO,14,0.5588
7501073839885,Penafiel Limonada 600 ml NR,6.4,24.7,6.4,1,PENAFIEL,14,0.6029
7501073839854,Penafiel Naranjada 600 ml NR,6.4,24.7,6.4,2,PENAFIEL,14,0.6013
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,7.8,20.6,7.8,2,TOPO CHICO,14,0.5662
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,2,OTRO,15,0.6471
7501022015377,Manzanita Sol PET 600ml,6.6,25.0,6.6,1,OTRO,15,0.6078
7501022013885,Seven up Lima limon 400ml NR,5.8,21.0,5.8,1,OTRO,15,0.6471
7501198355536,Dr Pepper Original 355ml Lata ,6.0,15.6,6.0,1,DR PEPPER,15,0.6471
7501073830509,Penafiel Mineral 600 ml NR,6.4,24.7,6.4,3,PENAFIEL,15,0.6471
7501073839861,Penafiel Naranjada 2 lt NR,10.3,34.1,10.3,2,PENAFIEL,16,0.4622
7501055379941,FRESCA FUSION 2L NR,10.5,34.5,10.5,1,FRESCA,16,0.5
7501055304813,Fresca Toronja 3L NR,11.2,35.9,11.2,1,FRESCA,16,0.5
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,16,0.5392
7501071120077,Squirt Toronja 2L NR,10.0,35.0,10.0,1,SQUIRT,17,0.5392
7501071120305,Squirt Toronja 3L NR,11.8,36.1,11.8,1,SQUIRT,17,0.5588
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,9.7,31.0,9.7,1,TOPO CHICO,17,0.5588
