UPC,ITEM_DESC,MARCA,ANCHO_BLOQUE,ALTO,CHAROLA_MODAL,E_CHAROLA_NORM,E_CHAROLA
7501505630073,Sangria casera Original 600ml NR,OTRO,7.0,24.0,15,0.5037,12.0888
7501022014585,Seven up Lima limon 600ml NR,OTRO,6.7,25.0,15,0.5223,12.5352
7501505630073,Sangria casera Original 600ml NR,OTRO,7.0,24.0,15,0.5037,12.0888
7501022013052,PEPSI BLACK 600ML,PEPSI,6.8,24.0,16,0.5555,13.332
7501031312559,Refresco Pepsi 600 ml botella No Retornable cola light,PEPSI,6.7,25.0,16,0.5373,12.8952
7501055303779,Fanta Naranja 600ml NR,FANTA,14.2,23.2,16,0.5493,13.1832
7501022015377,Manzanita Sol PET 600ml,OTRO,6.6,25.0,16,0.5637,13.5288
7501022014912,Mirinda 600mls RA,MIRINDA,6.6,25.0,16,0.5408,12.9792
7501022014585,Seven up Lima limon 600ml NR,OTRO,6.7,25.0,16,0.5223,12.5352
7501031302741,Refresco de Cola Pepsi 400 ml bote No retornable,PEPSI,5.8,21.0,17,0.5979,14.3496
7501022014257,PEPSI KICK 500 ML,PEPSI,12.0,21.0,17,0.5804,13.9296
7501055379484,DEL VALLE FIZZ 600ML NARANJA,OTRO,7.2,23.0,17,0.5916,14.1984
7501022015513,Manzanita Sol Manzana 400ml NR,OTRO,11.6,22.0,17,0.6021,14.4504
7501022013885,Seven up Lima limon 400ml NR,OTRO,5.8,21.0,17,0.6199,14.8776
7501022009277,Refresco Pepsi 473ml lata,PEPSI,13.4,16.0,18,0.6209,14.9016
7501022015438,Pepsi Kick SG 473 Ml Lata 12 XD,PEPSI,6.6,16.3,18,0.6189,14.8536
7501055308156,Refresco Fanta 250 ml botella No Retornablefresa,FANTA,5.5,17.0,18,0.6267,15.0408
7501022016008,Mirinda RA 400ml PET 12,MIRINDA,11.6,21.0,18,0.6284,15.0816
7501022013885,Seven up Lima limon 400ml NR,OTRO,11.6,21.0,18,0.6199,14.8776
7501073839861,Penafiel Naranjada 2 lt NR,PENAFIEL,10.3,34.1,19,0.4192,10.0608
7501073840843,Penafiel Sifon 1.75lt NR,PENAFIEL,20.6,37.5,19,0.4267,10.2408
7501071120077,Squirt Toronja 2L NR,SQUIRT,20.0,35.0,19,0.4494,10.7856
7501071120077,Squirt Toronja 2L NR,SQUIRT,10.0,35.0,20,0.4494,10.7856
21136010480,Agua mineral Topo Chico 1.5 lt botella No Retornable,TOPO CHICO,19.4,31.0,20,0.4653,11.1672
7501073800908,Penafiel Mineral 2 lt NR,PENAFIEL,20.6,34.1,20,0.4651,11.1624
7501505630073,Sangria casera Original 600ml NR,OTRO,7.0,24.0,21,0.5037,12.0888
7501198355581,Dr Pepper Cream soda 600ml NR,DR PEPPER,8.9,24.2,21,0.5167,12.4008
7501073841024,Penafiel Naranjada 1lt NR,PENAFIEL,8.0,27.9,21,0.5,12.0
7501071120183,Squirt Toronja 600ml NR,SQUIRT,6.7,25.0,21,0.5188,12.4512
7501073830028,Penafiel Mineral 1 lt NR,PENAFIEL,8.0,27.9,21,0.5128,12.3072
7501073839212,Penafiel Twist Limon 1 lt NR,PENAFIEL,16.0,27.9,21,0.5105,12.252
7501022014912,Mirinda 600mls RA,MIRINDA,6.6,25.0,22,0.5408,12.9792
7501073841925,Penafiel Pinada 600ml NR,PENAFIEL,6.7,24.5,22,0.5468,13.1232
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,TOPO CHICO,31.2,20.6,22,0.5607,13.4568
7501071120183,Squirt Toronja 600ml NR,SQUIRT,6.7,25.0,22,0.5188,12.4512
7501073839854,Penafiel Naranjada 600 ml NR,PENAFIEL,12.8,24.7,23,0.5873,14.0952
7501073831469,Penafiel Twist Limon 600 ml NR,PENAFIEL,6.4,24.7,23,0.6093,14.6232
21136010541,Agua mineral Topo Chico 600 ml botella No Retornable,TOPO CHICO,31.2,20.6,23,0.5607,13.4568
7501198355536,Dr Pepper Original 355ml Lata ,DR PEPPER,18.0,15.6,24,0.626,15.024
7501073839885,Penafiel Limonada 600 ml NR,PENAFIEL,6.4,24.7,24,0.6106,14.6544
7501073830509,Penafiel Mineral 600 ml NR,PENAFIEL,25.6,24.7,24,0.6167,14.8008
