fitness,aprovechamiento_pct,desperdicio_pct,incoherencia_cm,agrupacion_marca_pct,valor_esperado_ubicacion,n_shelves_used,overflow,algoritmo,formato,tiempo_s,nodos,arcos,variables_random_key,variables_grafo_equiv,parametros
2.348864294865843,88.50757575757576,11.492424242424242,1.7199799511397795,55.84415584415584,0.769351815181518,24,0,Historico,BCO_CF_4.0_Refrescos,0.0,125,2424,101,2424,309
2.44243236085763,92.39525691699606,7.604743083003951,2.2384962129844137,58.97435897435898,0.7647377529057252,23,0,GA main,BCO_CF_4.0_Refrescos,11.92,125,2424,101,2424,309
2.3230590772709996,92.39525691699606,7.604743083003951,5.006405628750559,25.64102564102564,0.757160223848472,23,0,NLP random-key,BCO_CF_4.0_Refrescos,31.19,125,2424,101,2424,309
2.0923791116026615,75.63636363636364,24.363636363636367,0.9983821420116307,57.14285714285714,0.9984320987654317,6,0,Historico,SIN_CFC_1.0_Refrescos,0.0,33,162,27,162,87
2.5259545958458633,90.94545454545454,9.054545454545455,3.4185444453597107,81.81818181818183,0.772540740740741,5,0,GA main,SIN_CFC_1.0_Refrescos,3.88,33,162,27,162,87
2.4764506418261822,90.94545454545455,9.054545454545453,5.959705297004525,77.27272727272727,0.6867407407407407,5,0,NLP random-key,SIN_CFC_1.0_Refrescos,2.13,33,162,27,162,87
2.4184786373086045,90.60606060606061,9.393939393939394,1.8211486523129625,56.36363636363636,0.7596646766169154,12,0,Historico,OFC_CF_2.0_Refrescos,0.0,79,804,67,804,207
2.46207123216799,90.6060606060606,9.393939393939394,1.2548968829546305,72.72727272727273,0.7554238805970149,12,0,GA main,OFC_CF_2.0_Refrescos,7.65,79,804,67,804,207
2.3278916953451483,90.60606060606061,9.393939393939393,4.573184007907119,40.0,0.6939800995024877,12,0,NLP random-key,OFC_CF_2.0_Refrescos,18.39,79,804,67,804,207
2.1192299063777362,80.57670454545455,19.423295454545453,1.5382941657580405,51.61290322580645,0.7723971153846155,32,0,Historico,OFC_CF_5.5_Refrescos,0.0,188,4992,156,4992,474
2.501645893036284,95.66666666666669,4.333333333333335,1.6094499195027265,51.162790697674424,0.7512932573599242,27,0,GA main,OFC_CF_5.5_Refrescos,15.78,188,4992,156,4992,474
2.328891642975711,95.66666666666666,4.333333333333336,5.798356729461453,17.05426356589147,0.7421672839506175,27,0,NLP random-key,OFC_CF_5.5_Refrescos,80.85,188,4992,156,4992,474
